gram,counts
covid 19,186804
coronavirus pandemic,7233
coronavirus cases,6530
covid19 coronavirus,6388
19 pandemic,5967
19 cases,5496
href rel,4672
rel nofollow,4672
true href,4615
coronavirus wednesdaymorning,4146
socialdistancing covid_19,4128
quarantine love,4125
love goodmorning,4124
wednesdaymorning obamagate,4123
obamagate quarantine,4123
goodmorning art,4123
art socialdistancing,4123
nofollow twitter,3712
new cases,3696
coronavirus covid19,3645
second wave,3641
via youtube,3346
covid_19 coronavirus,3235
new york,3181
pandemi covid,3093
nuevos casos,2995
casos covid,2928
due covid,2889
coronavirus crisis,2804
new coronavirus,2778
twitter web,2694
19 patients,2556
amid coronavirus,2500
coronavirus outbreak,2442
coronavirus lockdown,2428
bbc news,2421
19 crisis,2384
casos coronavirus,2380
operasi ketupat,2366
pelaksanaan operasi,2341
web app,2334
19 via,2272
first wave,2261
di tengah,2246
due coronavirus,2241
donald trump,2229
death toll,2206
covid19 pandemic,2169
news coronavirus,2168
social distancing,2139
memperpanjang masa,2131
tengah pandemi,2126
may 20,2099
masa pelaksanaan,2096
19 deaths,2091
coronavirus deaths,2055
19 data,2047
coronavirus covid,2041
new covid,2034
coronavirus vaccine,2025
wagimandeep212 narkosun,2015
thearieair tjhinfar21,2002
hamka_sutra 1802_kimmi,1999
tjhinfar21 wagimandeep212,1993
narkosun kampoeng_99,1993
kampoeng_99 hamka_sutra,1993
1trenggalek thearieair,1992
1802_kimmi aryprasetyo85,1985
ketupat 2020,1915
2020 di,1912
polri memperpanjang,1898
nursing homes,1893
covid19 happybirthdayntr,1855
19 atau,1855
happybirthdayntr ليله_27,1852
ليله_27 angiemotshekga,1852
angiemotshekga covid_19,1852
coronavirus kadirgecesi,1852
kadirgecesi ليلة_القدر,1852
ليلة_القدر lockdown2020,1852
atau virus,1835
24 horas,1815
virus corona,1807
white house,1802
da covid,1799
planned parenthood,1784
19 vaccine,1771
amid covid,1735
covid19 cases,1724
ainda bem,1700
mental health,1669
casos confirmados,1662
gon na,1656
contact tracing,1605
fight covid,1605
says coronavirus,1601
positive covid,1600
19 testing,1591
president trump,1499
million coronavirus,1490
coronavirus stimulus,1489
positive coronavirus,1470
19 outbreak,1462
tested positive,1451
wear mask,1446
due covid19,1445
public health,1419
confirmed cases,1403
80 million,1399
cashless society,1361
coronavirus response,1343
live updates,1333
spread easily,1321
2nd wave,1313
parenthood affiliates,1290
24 hours,1259
care homes,1251
test positive,1236
year old,1236
19 response,1232
19 di,1224
stay home,1217
coronavirus via,1217
20 2020,1215
19 lockdown,1213
improperly applied,1207
received 80,1206
100 000,1202
fake news,1190
coronavirus relief,1187
united states,1177
affiliates improperly,1170
20 05,1169
applied received,1167
new post,1160
trump administration,1152
coronavirus live,1150
good news,1147
looks like,1135
casos positivos,1120
coronavirus update,1117
impact covid,1094
stimulus funds,1094
fight coronavirus,1091
cdc says,1089
may 2020,1088
fox news,1080
rolls royce,1078
cases covid,1073
post covid,1072
últimas 24,1070
coronavirus patients,1064
bem natureza,1063
pandemia coronavirus,1062
join us,1057
gt gt,1056
coronavirus death,1053
new zealand,1053
coronavirus testing,1042
bill gates,1034
costa rica,1029
coronavirus argentina,1026
19 em,1020
does spread,1018
badge honor,1017
trump says,1013
national guard,1005
19 update,997
pandemia covid,996
new deaths,993
19 test,991
fired refusing,988
coronavirus covid_19,985
crisis coronavirus,985
contaminated surfaces,983
natureza criou,980
05 2020,978
wave na,977
nursing home,973
du coronavirus,973
coronavirus shutdown,970
total number,967
total cases,958
19 mayo,951
20 mayo,951
vote mail,949
people died,941
du covid,933
new normal,933
funds feds,933
many people,923
federal judge,922
apple google,918
cases covid19,917
florida scientist,899
wearing mask,891
boris johnson,891
coronavirus does,889
response covid,885
one day,882
premier league,882
health care,878
around world,875
cases coronavirus,867
easily via,863
may 19,861
19 relief,858
get coronavirus,851
sars cov,850
positive cases,843
long term,842
19 death,840
coronavirus news,838
covid19 crisis,837
coronavirus could,832
19 coronavirus,831
face mask,831
via contaminated,828
post coronavirus,825
000 jobs,816
twitter android,813
muzzled cdc,813
spread coronavirus,811
corona virus,802
tests positive,797
single day,787
mass testing,786
novel coronavirus,785
casos covid19,782
face masks,782
20 may,781
top story,781
contact tracers,781
million people,776
com covid,772
stay safe,770
health effects,764
coronavirus data,761
towards cashless,757
raise alarm,753
cases reported,749
mayo 2020,745
19 impact,743
look like,740
doctors raise,738
world bank,726
new covid19,724
continued coronavirus,724
da saúde,723
white people,722
need know,721
em casa,720
first time,717
05 20,715
politics ahead,715
carbon emissions,714
we ve,712
coronavirus restrictions,707
world health,706
died covid,706
ve muzzled,704
us coronavirus,702
ee uu,696
death rate,696
jacinda ardern,694
mortes covid,692
shutdown mass,692
alarm health,689
refusing manipulate,686
il coronavirus,685
tom moore,684
say white,683
number coronavirus,680
go back,678
effects continued,677
covid19 deaths,676
putting politics,675
1st wave,673
ahead science,673
mass casualty,672
cases deaths,668
wan na,664
90 000,663
post covid19,659
hong kong,658
small businesses,652
executive order,651
trump coronavirus,646
per capita,646
spread covid,644
house putting,641
response coronavirus,640
criou esse,640
judge rules,638
daily thanks,638
pa nga,637
19 vía,636
casualty incident,636
20 mei,635
contagios covid,634
deaths per,631
four day,629
19 may,623
19 tests,620
coronavirus world,615
crise du,612
esse monstro,611
south africa,609
19 treatment,608
namo app,608
positivo covid,607
000 deaths,607
virus covid,607
casos nuevos,606
muertes coronavirus,606
pandemia covid19,604
make sure,603
york times,602
não tem,601
died coronavirus,600
last 24,600
captain tom,599
prime minister,598
last week,596
help us,594
travel ban,594
19 virus,593
mei 2020,592
contagios coronavirus,591
taking hydroxychloroquine,590
yung first,590
global coronavirus,588
covid19 covid_19,582
penyebaran covid,578
well done,578
small business,576
task force,576
care home,574
coronavirus spread,573
manipulate covid,572
back work,569
health ministry,569
19 positive,568
di pa,561
crisis covid,560
social media,560
new jersey,559
pandemic via,558
would like,558
000 people,556
covid_19 covid19,556
coronavirus vía,556
heading towards,556
wearing masks,554
via nytimes,554
positif covid,549
cdc sources,546
coronavirus updates,545
south korea,542
spread covid19,542
porn usa,539
day working,539
yung curve,539
people like,538
covid19 lockdown,538
10 000,537
covid19 patients,535
working week,535
scientist fired,533
fight covid19,531
breaking news,530
cut 000,529
coronavirus infections,526
check point,525
mil mortes,524
131 nuevos,523
corona operasi,522
royce cut,521
coronavirus trump,520
says covid,520
ron desantis,520
doctors nurses,517
tiempos coronavirus,517
sources say,517
every day,516
care workers,514
young people,513
blog post,513
19 infections,511
experts say,508
pacientes covid,507
coronavirus related,503
extreme poverty,503
19 lockdowns,502
feds say,501
flags four,500
andrew cuomo,499
badge honour,497
muertes covid,495
got ta,494
catching covid,494
19 05,493
two months,493
ardern flags,492
end lockdown,491
week way,491
coronavirus tests,490
looking forward,490
19 2020,489
coronavirus test,489
wave covid,485
du covid19,484
active cases,478
monstro chamado,477
dies covid,476
penanganan covid,475
fatality rate,474
19 amp,473
florida covid,473
ministerio salud,473
cases badge,472
study finds,472
coronavirus disease,471
way rebuild,471
high school,469
número casos,468
herd immunity,468
global pandemic,466
world news,463
hydroxychloroquine drug,462
treat covid,461
zealand covid,461
19 related,460
rebuild new,460
joe biden,459
dr fauci,459
afraid catching,458
front line,457
impact covid19,455
tracing app,453
300 000,451
19 case,450
nuevo coronavirus,449
summer 2021,449
wash hands,449
226 new,448
common sense,448
coronavirus il,447
climate change,447
muertos coronavirus,447
positivos covid,445
data scientist,444
drug costa,444
coronavirus lockdowns,444
covid19 testing,443
global carbon,443
última hora,443
coronavirus captain,443
nouveaux cas,443
recovery rate,443
rica uses,441
2020 05,441
real estate,441
covid19 positive,441
ministério da,439
pentagon memo,438
hari kebangkitan,437
agenda coronavirus,435
uses successfully,435
coronavirus coronavirus,435
at home,434
new blog,434
wear masks,432
het coronavirus,432
successfully fight,429
coronavirus uk,429
texans afraid,428
asian american,427
leaked pentagon,427
health officials,427
cada vez,426
despite coronavirus,426
watch live,426
coronavirus impact,424
coronavirus aid,423
da cloroquina,422
fossil fuel,421
20 mai,421
says fired,420
number cases,420
19 restrictions,419
coronavirus latest,418
via nyt,418
cases new,417
people die,417
health organization,416
kebangkitan nasional,416
antibody test,416
number covid,416
scientist says,416
coronavirus infection,415
346 casos,415
side effects,415
mail in,415
19 dengan,415
deaths covid,414
new study,413
get back,412
nuevos contagios,412
ministro salud,412
uk coronavirus,411
track trace,411
memo warns,410
19 infection,410
health workers,410
positivos coronavirus,409
cases confirmed,408
trump calls,408
miércoles 20,408
est pas,408
rules texans,407
uk government,406
feel like,405
50 states,403
china coronavirus,402
19 brasil,401
terdampak covid,401
19 spread,401
qu il,401
keeping business,401
essential workers,397
cases rise,396
die coronavirus,395
business going,395
cases total,394
get covid,394
positive covid19,393
covid19 response,393
19 situation,393
president donald,392
19 vote,392
mais mil,391
mil casos,391
coronavirus serco,391
per cent,390
coronavirus venezuela,389
100 million,389
000 dead,389
impact coronavirus,389
serco apologises,388
confirmados covid,387
vacuna coronavirus,387
term care,386
awarded knighthood,386
ang first,386
em 24,385
coronavirus patient,385
deaths coronavirus,384
19 covert,384
covert id,384
one thing,382
going covid,382
dies coronavirus,381
health minister,380
apologises sharing,380
like coronavirus,378
40 000,378
vacuna covid,378
19 contact,376
realdonaldtrump russvought45,376
abc news,375
via breitbartnews,375
19 recovery,374
moore awarded,374
id heading,374
response covid19,373
dying covid,373
jorge rodríguez,372
knighthood nhs,372
re opening,372
daily coronavirus,372
great news,371
memorial day,371
coronavirus source,371
towards future,371
email addresses,371
pandemic could,370
health department,370
trump threatens,370
sharing contact,370
american doctors,369
tell us,369
hindi pa,369
nhs fundraising,368
officials say,367
covid19 vaccine,366
even though,366
coronavirus virus,365
novos casos,363
web client,363
clinical trials,363
coronavirus transmission,363
caso covid,362
navajo nation,362
92 000,362
sounds like,362
highest number,361
show covid,360
tracers email,360
fuel companies,359
spread virus,359
000 americans,359
di rumah,359
let us,357
latest news,356
coronavirus new,355
19 numbers,354
world coronavirus,354
shared shocking,354
mai 2020,354
nurses fighting,353
total deaths,353
future cashless,353
na flatten,353
combate ao,352
na ba,352
19 could,351
york city,350
19 new,350
the coronavirus,350
coronavirus demand,349
companies set,348
us covid,348
annie glenn,347
update covid,347
emissions dropped,346
coronavirus españa,346
got covid,346
in person,345
54 346,344
europe brace,344
cyclone amphan,343
in the,343
test kits,342
brace second,342
let fossil,341
need help,341
demand transparency,340
department health,340
confirmed covid,340
federal government,340
healthcare workers,339
working home,339
per lakh,339
set agenda,338
wave coronavirus,338
20 000,338
business owners,337
contre covid,335
next year,335
seems like,335
fighting racism,334
trump announces,334
people dying,334
stay at,331
reduce coronavirus,331
000 coronavirus,331
lockdown new,331
washington post,330
prevent coronavirus,330
19 méxico,329
transparency via,329
19 patient,329
work home,328
vía youtube,328
shows signs,328
supply chain,328
infected covid,328
via getup,327
relief fund,327
uso da,327
relief funds,327
na pala,327
17 covid,326
américa latina,326
19 20,326
next week,326
coronavirus corona,326
good morning,325
time coronavirus,325
covid19 test,325
weeks ago,325
antibody tests,325
covid 19via,324
19 na,323
