gram,counts
covid 19,110700
19 cases,6357
19 vaccine,4798
positive covid,3336
casos covid,2653
omicron variant,2600
new covid,2554
new cases,2299
19 pandemic,2280
tested positive,2196
covid19 omicron,2172
19 tests,1949
due covid,1856
19 vaccines,1676
19 vaccination,1670
19 testing,1651
covid19 cases,1514
covid19 coronavirus,1457
nuevos casos,1450
coronavirus cases,1362
supreme court,1348
19 test,1341
covid19 vaccine,1325
fully vaccinated,1283
coronavirus covid19,1282
contagios covid,1272
test kits,1268
positivo covid,1224
tests positive,1223
covid cases,1204
public health,1204
test positive,1179
2022 01,1136
covid19 covid_19,1129
24 horas,1121
health care,1087
covid covid19,1080
24 hours,1001
get vaccinated,997
get covid,961
casos positivos,941
covid omicron,935
casos coronavirus,927
january 2022,918
omicron covid19,906
últimas 24,874
million covid,872
100 000,870
sars cov,870
variante ómicron,864
next week,851
cases covid,839
19 booster,813
covid19 covid,812
year old,790
casos covid19,787
per month,778
coronavirus pandemic,775
pages per,767
stay safe,761
booster shot,758
positive covid19,754
19 hospitalizations,747
vaccine mandate,747
positivity rate,747
last 24,746
data covid19,738
19 patients,737
active cases,734
health data,730
coronavirus covid,725
01 03,723
covid19 publichealth,721
new coronavirus,714
at home,707
pfizer covid,707
analytics team,707
covid insights,706
insights analytics,706
team usafacts,706
usafacts datavisualization,706
datavisualization datascience,706
datascience analytics,706
analytics health,706
publichealth covid,706
omicron globalhealth,706
03 covid,701
united states,688
vacuna covid,683
new york,682
19 surge,679
sajid javid,676
vaksinasi covid,666
vaccine mandates,665
contagios covid19,657
19 di,640
01 2022,639
white house,638
aumento casos,631
surge covid,630
vaksin covid,630
nhs doctor,628
directly challenged,625
07 01,622
challenged mandatory,621
mandatory coronavirus,618
coronavirus jabs,617
covid19 pandemic,616
unvaccinated nhs,612
positif covid,610
jabs unvaccinated,607
javid directly,601
non vaccinés,598
positivos covid,594
care workers,594
long term,594
19 data,588
da covid,588
dose covid,588
19 update,586
19 infections,581
biden administration,571
testing positive,566
est pas,564
nuevos contagios,563
000 new,561
du covid,553
covid deaths,552
19 omicron,551
get well,551
confirmed covid,550
19 protocols,545
side effects,540
coronavirus omicron,539
many people,537
casos activos,529
19 via,528
via youtube,527
spread covid,526
cases reported,522
19 deaths,521
19 infection,520
qu il,518
well soon,517
last year,515
new covid19,512
vacunación covid,509
long covid,502
testing site,500
19 positive,496
covid coronavirus,494
55 000,494
coronavirus test,493
enero 2022,491
dosis refuerzo,490
19 sajid,490
pcr test,488
novak djokovic,488
died covid,487
vaccine booster,485
rapid test,483
new year,482
jan 2022,480
last week,476
omicron coronavirus,474
dies covid,474
get tested,472
day covid,472
vaccine shot,472
19 variant,467
two years,464
gon na,460
us covid,459
rapid tests,458
joe biden,458
19 em,457
covid19 vaccination,457
com covid,456
health minister,455
000 pages,450
vacina covid,449
19 case,446
single day,445
booster dose,442
omicron cases,440
19 vaccinations,439
17 100,438
amid covid,437
positive coronavirus,437
wear mask,433
gt gt,433
du covid19,426
new deaths,426
in person,425
casos nuevos,425
dosis vacuna,423
home covid,422
department health,421
number covid,417
vous êtes,415
somosdefensoresdepatria fanbypueblodepaz,414
booster shots,413
19 restrictions,411
150 crore,411
fda produce,409
around world,406
covid_19 covid19,406
tests expired,406
hospitalized covid,405
natural immunity,404
19 outbreak,400
one day,400
vaccine doses,400
health officials,399
moderna covid,399
free covid,396
per 1k,395
stay home,393
orders fda,393
daily covid,393
rapid antigen,393
नए मल,391
500 pages,390
covid19 vaccines,389
common cold,384
rapid covid,383
rate 55,380
positivo covid19,380
double vaccinated,379
1k population,378
cases per,377
libertad003 gnbgarantedepaz,377
population county,376
court orders,375
produce pfizer,374
north korea,373
mais uma,371
two weeks,370
kits households,370
dio positivo,369
corona covid19,367
data rate,365
testing sites,365
vaccinated people,362
live updates,361
biden vaccine,361
covid vaccine,360
moderna ceo,359
vaccinated covid,357
pandemi covid,357
da positivo,356
healthcare workers,355
ministerio salud,355
contagios coronavirus,355
omicron covid,355
coronavirus vaccine,352
fda requested,351
nueva variante,351
millones casos,350
coronavirus infections,350
requested 500,349
month court,348
da vacina,346
contre covid,346
need know,345
instead fda,344
mental health,344
pruebas covid,344
finalizing plans,344
pandemia covid,341
vacuna covid19,341
varian omicron,340
ron desantis,339
cuarta dosis,338
pandemia covid19,338
house usps,338
looks like,337
third wave,337
cases omicron,336
positive cases,335
biden covid,335
19 symptoms,334
छल 24,334
getting covid,333
first time,333
india reports,330
hong kong,329
il est,327
james corden,327
ola covid,325
usps finalizing,323
severe covid,321
mil casos,321
โคว ด19,321
fresh covid,319
41 986,319
covid19 varianteomicron,318
00 00,317
variant covid,316
please help,315
10 000,315
ny covid,315
staff shortages,314
prime minister,313
per cent,312
il faut,311
walk in,311
vacinassalvamvidas vacinaparacriancasja,311
fanbypueblodepaz gnb,310
deaths per,309
novel coronavirus,308
au covid,307
protocole sanitaire,306
test results,303
social media,303
almost half,303
uma onda,303
23 year,302
110 533,302
covid test,301
hospital covid,300
health workers,300
vacunas covid,300
onda vivaosus,300
vivaosus covid19,300
varianteomicron h3n2,300
h3n2 vacinassalvamvidas,300
vacinaparacriancasja sosbrasil,300
pfizer biontech,299
pfizer moderna,299
casos confirmados,298
flu covid,296
got covid,296
world health,296
covid19 covid19india,296
omicron surge,294
wearing mask,293
vacunación covid19,292
due covid19,292
omicron wave,291
medidas prevención,287
300 millones,285
hospitalizations due,285
reported ny,285
make sure,284
good news,283
home test,283
menstrual cycle,283
health department,283
nuevo récord,283
people died,283
rising covid,282
every day,282
case numbers,282
dari turki,282
salud pública,281
covid covid,281
cases deaths,281
cases last,280
11 tahun,280
rt pcr,280
omicron mild,279
since start,278
tests expire,278
refuerzo covid,276
test covid,275
record high,275
cases surge,274
unable work,274
take care,273
speedy recovery,273
death toll,272
people get,272
19 rapid,271
vacinação covid,271
protokol kesehatan,270
cases today,269
novos casos,268
underlying health,268
12 15,268
tercera dosis,268
variant omicron,267
rise covid,267
januari 2022,267
covid positive,267
super bowl,266
malade vie,265
vie amp,265
amp contrôlable,265
make happen,264
public schools,264
19 gt,264
19 related,263
half reported,263
cbc news,262
19 virus,262
