gram,counts
covid 19,568923
corona virus,48915
coronavirus outbreak,39280
coronavirus pandemic,38862
coronavirus covid19,37522
due coronavirus,37118
amid coronavirus,27664
coronavirus cases,25547
via youtube,25381
coronavirus covid,24729
positive coronavirus,24104
gon na,22988
social distancing,22739
coronavirus crisis,21487
covid19 coronavirus,20646
stay home,20031
coronavirus via,18782
casos coronavirus,18505
rel nofollow,18287
href rel,18287
true href,17977
new york,16734
tested positive,16014
nofollow twitter,15803
du coronavirus,15481
spread coronavirus,14599
tests positive,14486
19 pandemic,13971
fight coronavirus,13550
donald trump,13273
toilet paper,13230
new coronavirus,12959
stay safe,12406
get coronavirus,12069
sign petition,12020
novel coronavirus,11862
coronavirus response,11706
new cases,11684
due covid,10860
white house,10665
cases coronavirus,10543
news coronavirus,10451
coronavirus testing,10416
chinese virus,10168
president trump,9993
twitter web,9929
19 outbreak,9863
coronavirus test,9798
crisis coronavirus,9784
19 coronavirus,9739
public health,9718
coronavirus spread,9662
il coronavirus,9460
bbc news,9407
coronavirus covid_19,9296
confirmed cases,9100
coronavirus update,9083
response coronavirus,9051
people people,9017
coronavirus vaccine,8975
wash hands,8974
19 cases,8898
death toll,8786
looks like,8718
trump coronavirus,8591
fake news,8456
web app,8448
boris johnson,8195
fight covid19,8066
caso coronavirus,7970
petition via,7915
coronavirus fears,7864
positivo coronavirus,7813
covid_19 coronavirus,7810
coronavirus vía,7660
coronavirus covidー19,7427
pandemia coronavirus,7396
gt gt,7360
wan na,7359
united states,7314
positive covid,7278
good news,7083
year old,7075
south korea,6978
casos confirmados,6871
many people,6831
live updates,6824
fox news,6722
covidー19 coronavirus,6700
virus covid,6700
like coronavirus,6664
coronavirus concerns,6469
est pas,6397
19 virus,6396
qu il,6365
self isolation,6278
first coronavirus,6260
coronavirus death,6227
coronavirus coronavirus,6201
test positive,6188
het coronavirus,6180
social media,6146
au coronavirus,6128
amid covid,6115
trying times,6099
coronavirus lockdown,6088
coronavirus si,6078
si coronavirus,6037
coronavirus live,5992
coronavirus puede,5987
primer caso,5979
health care,5875
coronavirus deaths,5847
nuevos casos,5796
work home,5776
trump administration,5761
coronavirus il,5618
china coronavirus,5565
got ta,5563
case coronavirus,5561
tiempos coronavirus,5548
us coronavirus,5539
around world,5525
italian friends,5512
friends colleagues,5483
get tested,5475
times share,5475
spread covid,5451
coronavirus va,5437
stand italy,5434
italy trying,5430
share support,5418
com coronavirus,5418
coronavirus china,5416
test kits,5405
support italian,5397
cuarentena coronavirus,5396
19 via,5381
prime minister,5375
19 crisis,5365
coronavirus case,5299
coronavirus quarantine,5275
hand sanitizer,5267
breaking news,5131
cure coronavirus,5116
coronavirus could,5110
time coronavirus,5096
two weeks,5081
stop spread,5077
working home,5057
tested coronavirus,5012
got coronavirus,4969
el coronavirus,4967
make sure,4927
tom hanks,4914
nhs staff,4878
press conference,4840
coronavirus news,4828
coronavirus disease,4800
feel like,4799
cases covid,4756
national emergency,4746
19 update,4742
self quarantine,4730
twitter android,4728
due covid19,4725
task force,4723
take care,4698
coronavirus relief,4651
self isolate,4649
wuhan coronavirus,4604
responsible citizen,4594
coronavirus patients,4586
herd immunity,4574
covid19 pandemic,4569
come forward,4546
panic buying,4530
last week,4494
coronavirus covid2019,4476
response covid,4470
first case,4457
forward amp,4446
citizen come,4437
people fight,4435
amp res,4412
coronavirus est,4393
di rumah,4385
york times,4335
coronavirus us,4328
curfew people,4324
sars cov,4304
need know,4295
covid19 responsible,4276
coronavirus tests,4256
coronavirus bill,4227
lawan covid,4226
the coronavirus,4213
people coronavirus,4140
washington post,4139
know coronavirus,4139
first time,4137
causa coronavirus,4136
il est,4128
casos covid,4123
coronavirus shit,4085
combat coronavirus,4084
je suis,4077
24 hours,4057
coronavirus got,4038
via ukchange,4029
one day,4029
daily thanks,4017
coronavirus panic,4011
coronavirus like,4010
coronavirus spreads,3993
last night,3988
vacuna coronavirus,3981
please read,3967
da coronavirus,3952
ver si,3949
mental health,3948
corona coronavirus,3933
tema coronavirus,3932
flatten curve,3929
look like,3928
infected coronavirus,3908
would like,3894
state emergency,3888
contre coronavirus,3858
stop coronavirus,3857
indonesia lawan,3835
hong kong,3831
coronavirus trump,3811
il faut,3801
travel ban,3783
prevent spread,3780
joe biden,3776
premier league,3772
spread covid19,3757
covid19 cases,3746
stock market,3703
next week,3697
emergenza coronavirus,3676
world health,3672
spring break,3649
19 test,3643
100 000,3635
10 000,3631
coronavirus argentina,3624
coronavirus updates,3623
coronavirus uk,3617
staff covid,3598
coronavirus situation,3595
frontline nhs,3592
weeks ago,3563
help us,3561
fuck coronavirus,3557
die coronavirus,3553
coronavirus symptoms,3545
self isolating,3512
non essential,3512
think coronavirus,3505
em casa,3501
bekerja untuk,3485
trump says,3482
coronavirus españa,3481
puede ser,3464
well done,3457
test frontline,3456
via change,3445
rumah untuk,3441
19 priority,3437
italy coronavirus,3426
coronavirus new,3422
bersatu indonesia,3420
coronavirus amp,3420
coronavirus et,3408
mata coronavirus,3405
people need,3383
coronavirus italia,3379
untuk kamukamu,3378
coronavirus really,3377
virus corona,3375
kamukamu di,3359
sick leave,3347
19 testing,3346
coronavirus scare,3341
every day,3333
negative coronavirus,3317
vía youtube,3312
days ago,3288
coronavirus going,3283
03 2020,3277
untuk semuauntuk,3274
home coronavirus,3269
impact coronavirus,3265
thank god,3260
covid 19kami,3247
19kami bekerja,3244
coronavirus coronavirusoutbreak,3236
nuevo coronavirus,3235
coronavirus threat,3234
frente coronavirus,3227
young people,3227
cause du,3216
per il,3216
coronavirus hoax,3209
confirmed coronavirus,3209
idris elba,3208
face au,3197
new post,3195
immune system,3191
19 response,3187
contagio coronavirus,3183
health officials,3176
19 di,3169
says coronavirus,3146
chinese coronavirus,3130
coronavirus virus,3129
semuauntuk indonesia,3122
coronavirus italy,3110
affected coronavirus,3109
despite coronavirus,3093
one thing,3092
god bless,3088
getting coronavirus,3085
test coronavirus,3080
fight covid,3064
anyone else,3062
coronavirus task,3058
covid2019 coronavirus,3047
coronavirus impact,3040
save lives,3038
coronavirus would,3036
última hora,3027
washing hands,3026
federal government,3023
19 situation,3016
puede matar,3013
coronavirus patient,3013
small businesses,3010
coronavirus venezuela,3005
ceux qui,2995
people die,2994
coronavirus méxico,2989
healthcare workers,2989
sounds like,2978
propagación coronavirus,2966
coronavirus get,2960
instansi terkait,2950
people like,2946
please take,2945
coronavirus epidemic,2944
combatir coronavirus,2933
top story,2927
cancelled due,2927
death rate,2922
slow spread,2917
24 horas,2905
miedo coronavirus,2904
catch coronavirus,2903
coronavirus corona,2892
confirmed case,2889
people died,2889
staying home,2889
let us,2883
emergency coronavirus,2883
da positivo,2883
virus coronavirus,2882
march 2020,2881
das coronavirus,2868
est ce,2854
sur coronavirus,2840
000 people,2837
medidas preventivas,2821
coronavirus related,2817
pedro sánchez,2810
coronavirus thing,2807
cura coronavirus,2806
postponed due,2805
coronavirus chinese,2779
fighting coronavirus,2776
ils ont,2770
paid sick,2752
called coronavirus,2741
muertos coronavirus,2727
go back,2725
tests negative,2711
va matar,2705
seems like,2703
est une,2702
