term,counts
coronavirus,2647114
nan,794341
covid,603266
19,588367
covid19,489095
people,237000
virus,186866
trump,172120
via,157085
us,139406
si,138306
amp,133888
like,133472
get,125606
china,120806
corona,119845
new,118781
cases,108011
news,107701
one,102768
time,96670
pandemic,94943
need,88266
na,86281
il,85327
di,85281
please,82688
realdonaldtrump,82573
know,81268
home,81230
due,80045
world,77541
est,76676
health,76260
et,74237
da,73926
crisis,73533
go,73174
good,71376
going,70905
the,70532
help,70025
would,69374
des,67295
outbreak,65323
first,63671
test,63119
government,63061
take,63060
spread,62860
stay,61956
positive,59526
du,58855
see,58757
think,58671
day,58404
casos,58377
could,58055
stop,57165
die,57099
still,56154
2020,55934
work,54969
got,54388
covid_19,54356
really,53942
right,53674
pour,53607
italy,52208
pas,51957
says,51872
per,51549
re,51449
today,50994
social,50754
even,50446
let,50144
everyone,49820
well,49033
make,48549
response,48458
many,48302
president,48106
coronaviruspandemic,48095
to,47767
va,47366
testing,47268
000,46753
may,46032
uk,45657
gente,45405
say,44324
live,44033
man,42893
com,42759
amid,42638
said,42514
eu,42283
read,42255
covidー19,42145
come,41901
não,41545
way,41539
want,41307
non,41022
chinese,40675
state,40537
tested,40516
update,40365
casa,40297
public,40285
je,40191
great,40024
twitter,39106
keep,39083
tests,38793
case,38740
fight,38739
country,38697
10,38665
de,38644
em,38586
also,38279
back,38095
video,37972
quarantine,37787
youtube,37760
shit,37685
much,37637
medidas,37613
real,37611
ser,37430
sa,36691
mais,36682
thank,36605
times,36563
true,36514
support,36253
every,36176
days,35609
cuarentena,35604
au,35546
getting,35195
qui,35094
gobierno,34995
thing,34968
latest,34758
hope,34644
last,34486
close,34330
care,34140
in,34076
fuck,33774
safe,33306
confirmed,32973
ahora,32880
une,32717
self,32657
free,32609
20,32457
ne,32344
deaths,32057
week,31883
ca,31808
god,31714
hospital,31433
death,31335
must,31330
ce,31325
lockdown,31293
love,31150
two,30954
media,30952
flu,30938
mundo,30780
vous,30736
emergency,30687
march,30437
total,30436
look,30077
thanks,29993
oh,29638
and,29461
